,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15Nav,normd15N28thoct,normd15N,,d15Nsd,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN
73,C4PEA215-8A,352.4159252,131016,55.93903575,,-27.67846245,0.04967165,83.66624951,130910,5.19666146,0.606042813,0.61,0.61,0,0.213985065,PE,8,A,215,2,6.14241,3.75692,charred,38.83638507,12.55848757
55,C4LEN215-8A,331.1562293,131021,53.41229505,,-26.42215143,0.051557418,92.8332354,130927,5.73044663,0.63217157,0.63,0.63,0,0.32055081,LE,8,A,215,2,1.40023,0.91672,charred,34.53075566,10.8742561
57,C4LEN215-8C,358.8385861,131026,52.77038031,,-26.4988421,0.075803099,88.34222298,130927,5.736507986,0.663485199,0.66,0.66,0,0.320385069,LE,8,C,215,2,1.40023,0.91672,charred,34.53075566,10.73221616
56,C4LEN215-8B,323.7046962,131026,51.38169781,,-25.86450158,0.073777704,91.37784897,130927,6.01170059,0.787719486,0.79,0.79,0,0.319729711,LE,8,B,215,2,1.40023,0.91672,charred,34.53075566,9.971440396
75,C4PEA215-8C,384.7423883,131026,56.57976299,,-27.80864206,0.080260768,79.97164436,130902,5.061496478,0.929852866,0.93,0.93,0,0.333077373,PE,8,C,215,2,6.14241,3.75692,charred,38.83638507,13.0415429
46,C4EM215-8A,365.13,131017,56.17384615,,-25.49481165,0.048236026,85.09196587,130903,2.675847983,1.130041548,1.13,1.13,0,0.194164567,EM,8,A,215,2,2.00825,1.30048,charred,35.24312212,24.49173281
48,C4EM215-8C,355.6740691,131026,52.30501016,,-25.39151117,0.072330304,77.06139715,130902,2.694454446,1.241369008,1.24,1.24,0,0.328859153,EM,8,C,215,2,2.00825,1.30048,charred,35.24312212,22.64744611
38,C4EIN215-8B,376.9451974,131026,56.26047722,,-27.05198612,0.077642635,82.2832203,130927,2.671533127,1.444218608,1.44,1.44,0,0.316325798,EI,8,B,215,2,1.80446,1.16338,charred,35.52752624,24.56912204
39,C4EIN215-8C,398.2533454,131022,58.56666844,,-27.25641855,0.050641858,88.29478884,130927,2.767861719,1.522143815,1.52,1.52,0,0.315928468,EI,8,C,215,2,1.80446,1.16338,charred,35.52752624,24.68612481
37,C4EIN215-8A,380.43,131017,56.78059701,,-27.24086257,0.050949417,84.98494842,130819,2.851843907,1.564824602,1.56,1.56,0,0.324228624,EI,8,A,215,2,1.80446,1.16338,charred,35.52752624,23.22849077
30,C4BW215-8C,360.3021824,131021,53.77644513,,-27.1425402,0.052773797,58.03726496,130930,1.825071225,1.577901676,1.58,1.58,0,0.325374827,BW,8,C,215,2,2.39312,1.65225,charred,30.95833055,34.37629454
74,C4PEA215-8B,349.1836377,131022,58.19727295,,-27.73725009,0.051488402,87.79025416,130910,5.320621464,1.635233023,1.64,1.64,0,0.210613972,PE,8,B,215,2,6.14241,3.75692,charred,38.83638507,12.76106915
65,C4NB215-8B,423.9196145,131023,65.21840223,,-28.01606968,0.086739221,55.70802881,131027,1.844636716,1.76523118,1.77,1.77,0,0.407771037,NB,8,B,215,2,2.12588,1.26619,charred,40.43925339,41.24830396
47,C4EM215-8B,366.8290881,131025,54.75061016,,-25.39316687,0.071942497,83.60539304,131027,2.732202387,1.886136685,1.89,1.89,0,0.407108963,EM,8,B,215,2,2.00825,1.30048,charred,35.24312212,23.37883612
29,C4BW215-8B,292.13736,131025,48.68956,,-26.83692791,0.074903145,56.58439597,130927,1.773805516,2.102157916,2.1,2.1,0,0.313016742,BW,8,B,215,2,2.39312,1.65225,charred,30.95833055,32.02407826
66,C4NB215-8C,510.5645457,131023,81.04199138,,-27.52270242,0.085792415,72.62838728,131027,2.373476708,2.452031133,2.45,2.45,0,0.40416906,NB,8,C,215,2,2.12588,1.26619,charred,40.43925339,39.83565105
28,C4BW215-8A,326.78,131017,51.86984127,,-27.26104813,0.050983858,60.84334196,130910,1.975433181,2.530379304,2.53,2.53,0,0.208278071,BW,8,A,215,2,2.39312,1.65225,charred,30.95833055,30.63369362
97,RYE2158C,314.6569748,181031,48.40876535,41.11392858,-25.88101167,0.082129507,57.45790634,NA,1.45463054,3.586436543,3.59,3.59,0,0.271846317,rye,8,C,215,2,1367.11,1008.17,charred,26.25538545,40.102005
64,C4NB215-8A,395.384139,131016,62.75938714,,-27.9479841,0.050102001,55.04707584,130902,1.87873979,3.674530276,3.67,3.67,0,0.296579594,NB,8,A,215,2,2.12588,1.26619,charred,40.43925339,38.97255245
96,RYE2158B,302.9167821,181031,45.21146001,38.13903565,-26.03039395,0.082235899,54.86236917,NA,1.399550234,4.34983502,4.35,4.35,0,0.268487698,rye,8,B,215,2,1367.11,1008.17,charred,26.25538545,37.67540713
38,OAT2158D,317.1972163,181031,51.16084134,22.93636396,-28.20110571,0.084061146,83.1090523,NA,2.978819079,4.921517389,4.92,4.92,0,0.2662916,oat,8,D,215,2,1510.05,1106.37,charred,26.73288964,20.0373526
39,OAT2158E,331.9461456,181031,49.54420084,24.20341272,-28.11874323,0.083982567,69.85965673,NA,2.558961785,5.219217576,5.22,5.22,0,0.26525881,oat,8,E,215,2,1510.05,1106.37,charred,26.73288964,22.58789794
37,OAT2158A,396.5739504,181031,55.85548597,22.46993055,-27.35048152,0.083284532,103.0504439,NA,3.378703079,5.321323984,5.32,5.32,0,0.264922287,oat,8,A,215,2,1510.05,1106.37,charred,26.73288964,19.28690747
98,RYE2158E,292.7954525,181031,43.70081381,43.89241922,-25.6846581,0.081993513,54.93556374,NA,1.426897759,5.519361206,5.52,5.52,0,0.26429557,rye,8,E,215,2,1367.11,1008.17,charred,26.25538545,32.81472169
149,SPT2158C,411.9812999,181031,64.55999164,23.59039112,-27.04441979,0.083024269,49.31776745,NA,1.761348838,6.213301907,6.21,6.21,0,0.262373115,spelt,8,C,215,2,2757.69,1928.8,charred,30.05740312,42.76267633
147,SPT2158A,319.7717816,181031,51.57609381,25.31142675,-27.15498358,0.083117092,86.61999331,NA,2.916498091,7.177086505,7.18,7.18,0,0.260422441,spelt,8,A,215,2,2757.69,1928.8,charred,30.05740312,20.63162997
148,SPT2158B,423.5640111,181031,62.28882516,24.15417377,-27.5228635,0.083435625,84.84777167,NA,2.946103183,7.522711598,7.52,7.52,0,0.25992997,spelt,8,B,215,2,2757.69,1928.8,charred,30.05740312,24.66658209
50,C4LEN215-24B,383.67307,131023,61.88275323,,-25.77752362,0.082882107,101.7779352,131027,6.058210429,0.444507683,0.44,0.44,0,0.415760606,LE,24,B,215,3,1.52062,0.89772,charred,40.96355434,11.91714059
49,C4LEN215-24A,360.5218792,131023,59.10194741,,-26.01326407,0.083233622,89.47923006,130819,5.965282004,0.769880709,0.77,0.77,0,0.330543388,LE,24,A,215,3,1.52062,0.89772,charred,40.96355434,11.55892914
68,C4PEA215-24B,376.1545766,131026,58.77415259,,-27.46168322,0.079046249,96.53651153,130927,5.886372654,0.82078977,0.82,0.82,0,0.319555854,PE,24,B,215,3,5.46016,3.03592,charred,44.39869894,11.6489133
51,C4LEN215-24C,403.2397818,131023,61.09693664,,-25.72012899,0.08279856,126.5543104,131027,7.716726244,0.898356652,0.9,0.9,0,0.412860828,LE,24,C,215,3,1.52062,0.89772,charred,40.96355434,9.237046535
40,C4EM215-24A,391.0240645,131025,60.15754838,,-25.2939445,0.071763506,87.98155213,130902,3.023421035,1.056349218,1.06,1.06,0,0.331362402,EM,24,A,215,3,2.42423,1.37076,charred,43.45586021,23.21337506
33,C4EIN215-24C,375.2468169,131025,60.52368015,,-27.32964916,0.0760576,88.84516976,130910,3.173041777,1.244814714,1.24,1.24,0,0.21180805,EI,24,C,215,3,1.7714,1.01271,charred,42.829965,22.25339757
67,C4PEA215-24A,394.7610765,131026,61.6814182,,-27.95860759,0.080792767,92.41939555,130903,5.70490096,1.273337286,1.27,1.27,0,0.193723922,PE,24,A,215,3,5.46016,3.03592,charred,44.39869894,12.61400594
