,ID,,,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15Nav,normd15N,d15Nsd,d15n28th,,normd15N1,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN,,,,
82,C5BW230-8A,#N/A,,131017,61.0515625,-27.21058423,0.050897879,130819,2.235241687,2.921088521,2.921088521,0.314877642,2.92,TRUE,2.92,BW,8,A,230,5,2.8869,1.5755,charred,45.42588936,31.86537874,,,,
78,C5BW230-24C,#N/A,,131021,61.89477962,-27.08380372,0.052672081,130930,2.479735749,2.0592606,2.0592606,0.321422259,2.06,TRUE,2.06,BW,24,C,230,6,2.97155,1.4828,charred,50.1001161,29.12027068,,,,
76,C5BW230-24A,#N/A,,131016,62.16334169,-26.84558207,0.04846344,130910,2.559234408,2.142659264,2.142659264,0.20922032,2.14,TRUE,2.14,BW,24,A,230,6,2.97155,1.4828,charred,50.1001161,28.33812269,,,,
77,C5BW230-24B,#N/A,,131021,63.33331665,-27.04824013,0.052610709,130819,1.946379916,2.628053339,2.628053339,0.31673971,2.63,TRUE,2.63,BW,24,B,230,6,2.97155,1.4828,charred,50.1001161,37.96220298,,,,
133,C6BW245-4A,#N/A,,131016,63.5789312,-26.84319334,0.048460248,131027,2.741862586,1.544482048,1.544482048,0.409010319,1.54,TRUE,1.54,BW,4,A,245,7,3.77888,1.96678,charred,47.95336184,27.05293114,,,,
135,C6BW245-4C,#N/A,,131026,61.07515163,-26.98195188,0.077406128,130903,2.432093838,1.78252543,1.78252543,0.192181947,1.78,TRUE,1.78,BW,4,C,245,7,3.77888,1.96678,charred,47.95336184,29.29753057,,,,
134,C6BW245-4B,#N/A,,131017,72.08125,-27.10965644,0.050727172,130903,2.368269099,2.260606919,2.260606919,0.19076861,2.26,TRUE,2.26,BW,4,B,245,7,3.77888,1.96678,charred,47.95336184,35.50896801,,,,
137,C6BW245-8B,#N/A,,131017,62.02835821,-27.01882142,0.050574971,131027,1.758538035,0.915550057,0.915550057,0.41275411,0.92,TRUE,0.92,BW,8,B,245,8,2.86262,1.4259,charred,50.18898771,41.15146587,,,,
138,C6BW245-8C,#N/A,,131023,62.80054599,-27.1525461,0.085116934,130930,2.447132205,1.729394886,1.729394886,0.324121146,1.73,TRUE,1.73,BW,8,C,245,8,2.86262,1.4259,charred,50.18898771,29.94006761,,,,
136,C6BW245-8A,#N/A,,131017,64.36086957,-26.76650192,0.050159439,131027,2.433190654,2.192106403,2.192106403,0.405486708,2.19,TRUE,2.19,BW,8,A,245,8,2.86262,1.4259,charred,50.18898771,30.85976064,,,,
131,C6BW245-24B,#N/A,,131026,62.16188747,-26.56656905,0.076024769,130930,2.676850687,1.566792971,1.566792971,0.325467104,1.57,TRUE,1.57,BW,24,B,245,9,3.23623,1.47959,charred,54.2804436,27.09235984,,,,
132,C6BW245-24C,#N/A,,131021,62.14739367,-27.06026058,0.052631434,130927,2.575602629,2.326375239,2.326375239,0.311913045,2.33,TRUE,2.33,BW,24,C,245,9,3.23623,1.47959,charred,54.2804436,28.15080704,,,,
130,C6BW245-24A,#N/A,,131016,64.50738638,-26.90799413,0.048547404,130819,2.523478117,2.576581899,2.576581899,0.317075985,2.58,TRUE,2.58,BW,24,A,245,9,3.23623,1.47959,charred,54.2804436,29.82336836,,,,
189,C7BW260-4C,#N/A,,131022,63.20743615,-26.86723661,0.049992228,130910,2.284196258,2.205114531,2.205114531,0.209061311,2.21,TRUE,2.21,BW,4,C,260,10,3.00901,1.44732,charred,51.90045895,32.28356958,,,,
188,C7BW260-4B,#N/A,,131022,63.23157517,-26.88345166,0.050018641,130910,2.659302234,2.272568986,2.272568986,0.208892683,2.27,TRUE,2.27,BW,4,B,260,10,3.00901,1.44732,charred,51.90045895,27.74042382,,,,
187,C7BW260-4A,#N/A,,131022,63.25220915,-26.95485947,0.050135641,130926,2.502835419,2.403792112,2.403792112,0.216266782,2.4,TRUE,2.4,BW,4,A,260,10,3.00901,1.44732,charred,51.90045895,29.48425751,,,,
192,C7BW260-8C,#N/A,,131022,67.03296674,-26.81042557,0.049900143,130926,2.691134717,2.02357161,2.02357161,0.216449933,2.02,TRUE,2.02,BW,8,C,260,11,3.50419,1.6579,charred,52.68806771,29.06027981,,,,
190,C7BW260-8A,#N/A,,131022,66.11707101,-26.96609439,0.050154151,130903,2.536099818,2.087487773,2.087487773,0.191276496,2.09,TRUE,2.09,BW,8,A,260,11,3.50419,1.6579,charred,52.68806771,30.41543645,,,,
191,C7BW260-8B,#N/A,,131023,67.0308613,-26.93892333,0.084741029,130910,2.480019897,2.201121494,2.201121494,0.209071395,2.2,TRUE,2.2,BW,8,B,260,11,3.50419,1.6579,charred,52.68806771,31.5330823,,,,
186,C7BW260-24C,#N/A,,131023,68.03584351,-26.95836215,0.084774808,130927,2.728666064,2.186853453,2.186853453,0.312598383,2.19,TRUE,2.19,BW,24,C,260,12,3.46028,1.50016,charred,56.64628296,29.08936048,,,,
185,C7BW260-24B,#N/A,,131016,62.03059317,-26.84368141,0.0484609,130910,2.732481925,2.536901471,2.536901471,0.208263139,2.54,TRUE,2.54,BW,24,B,260,12,3.46028,1.50016,charred,56.64628296,26.48472244,,,,
184,C7BW260-24A,#N/A,,131017,64.53114754,-26.90780084,0.050390816,130910,2.918797713,2.631763214,2.631763214,0.208049415,2.63,TRUE,2.63,BW,24,A,260,12,3.46028,1.50016,charred,56.64628296,25.79361306,,,,
3,BW0-0C,#N/A,,131021,39.02715747,-27.18958897,0.05285559,130819,1.330715961,1.985770847,1.985770847,0.321129033,1.99,TRUE,1.99,BW,0,C,0,13,3.48933,3.48933,fresh,0,34.21592966,,,,
2,BW0-0B,#N/A,,131016,42.77144459,-27.25045493,0.049027313,130902,1.383873674,2.073670062,2.073670062,0.317677794,2.07,TRUE,2.07,BW,0,B,0,13,3.48933,3.48933,fresh,0,36.05821804,,,,
1,BW0-0A,#N/A,,131016,41.88692927,-27.01117535,0.048688597,130819,1.419948091,2.210193139,2.210193139,0.319547982,2.21,TRUE,2.21,BW,0,A,0,13,3.48933,3.48933,fresh,0,34.41540184,,,,
35,C4EIN215-4B,#N/A,,131017,54.47833333,-27.31151203,0.051070251,130927,2.347124485,0.675836521,0.675836521,0.320319756,0.68,TRUE,0.68,EI,4,B,215,1,1.77232,1.3387,charred,24.46623635,27.07911573,,,,
34,C4EIN215-4A,#N/A,,131021,49.59838256,-27.56686083,0.053521508,130819,2.34444467,1.071355883,1.071355883,0.328079111,1.07,TRUE,1.07,EI,4,A,215,1,1.77232,1.3387,charred,24.46623635,24.68165719,,,,
36,C4EIN215-4C,#N/A,,131017,51.4546875,-27.46290373,0.051331891,130819,2.467955936,1.682283113,1.682283113,0.323346353,1.68,TRUE,1.68,EI,4,C,215,1,1.77232,1.3387,charred,24.46623635,24.32396295,,,,
38,C4EIN215-8B,#N/A,,131026,56.26047722,-27.05198612,0.077642635,130927,2.671533127,1.444218608,1.444218608,0.316325798,1.44,TRUE,1.44,EI,8,B,215,2,1.80446,1.16338,charred,35.52752624,24.56912204,,,,
39,C4EIN215-8C,#N/A,,131022,58.56666844,-27.25641855,0.050641858,130927,2.767861719,1.522143815,1.522143815,0.315928468,1.52,TRUE,1.52,EI,8,C,215,2,1.80446,1.16338,charred,35.52752624,24.68612481,,,,
37,C4EIN215-8A,#N/A,,131017,56.78059701,-27.24086257,0.050949417,130819,2.851843907,1.564824602,1.564824602,0.324228624,1.56,TRUE,1.56,EI,8,A,215,2,1.80446,1.16338,charred,35.52752624,23.22849077,,,,
33,C4EIN215-24C,#N/A,,131025,60.52368015,-27.32964916,0.0760576,130910,3.173041777,1.244814714,1.244814714,0.21180805,1.24,TRUE,1.24,EI,24,C,215,3,1.7714,1.01271,charred,42.829965,22.25339757,,,,
32,C4EIN215-24B,#N/A,,131022,67.40481848,-27.20189194,0.05054889,130903,3.27024744,1.383052791,1.383052791,0.193388516,1.38,TRUE,1.38,EI,24,B,215,3,1.7714,1.01271,charred,42.829965,24.04679044,,,,
31,C4EIN215-24A,#N/A,,131022,60.43103717,-27.0693225,0.050325493,130910,3.262902845,1.445447858,1.445447858,0.211181321,1.45,TRUE,1.45,EI,24,A,215,3,1.7714,1.01271,charred,42.829965,21.60740912,,,,
89,C5EIN230-4B,#N/A,,131017,63.103125,-27.21058423,0.050897879,130819,2.783749602,1.567534256,1.567534256,0.32420812,1.57,TRUE,1.57,EI,4,B,230,4,1.75698,1.07113,charred,39.03573177,26.44645641,,,,
90,C5EIN230-4C,#N/A,,131021,59.00706765,-27.26016148,0.052978805,130903,3.069728048,1.599740795,1.599740795,0.192731166,1.6,TRUE,1.6,EI,4,C,230,4,1.75698,1.07113,charred,39.03573177,22.42595365,,,,
