,ID,X.x,Cugdc,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN
26,OAT0B,26,379.861081,190117,38.7613348,-27.94141109,0.289840818,82.33464859,NA,2.037986351,2.895223116,0.593861441,-0.672648382,oat,0,B,0,16,910.4,910.4,fresh,0,22.18933274
280,PEA0-0A,56,445.7450582,131023,40.52227802,-27.57591608,0.085892003,82.6033589,130910,3.164879651,2.154246421,0.209190611,0,PE,0,A,0,10,6.07954,6.07954,fresh,0,14.93768997
268,HBH0-0A,34,440.6256527,131130,40.05687752,-26.28239388,0.055065336,83.69987964,131128,1.541434248,0.16978484,0.178547202,0,HBH,0,A,0,H0,2.53,2.53,fresh,0,30.31788339
136,SPT0C,136,467.143914,190117,45.35377806,-26.96712263,0.275776665,84.57858564,NA,2.109191662,5.766404735,0.57545873,-0.561684841,spelt,0,C,0,16,1627.4,1627.4,fresh,0,25.08673917
281,PEA0-0B,59,430.6162915,131026,40.24451322,-27.89133328,0.080553597,87.45533526,130903,3.416224034,1.224649955,0.193873312,0,PE,0,B,0,10,6.07954,6.07954,fresh,0,13.74380943
27,OAT0C,27,437.6873637,190117,42.49391881,-27.4359613,0.282513431,87.47598162,NA,2.092726833,3.431574372,0.59003161,-0.651919831,oat,0,C,0,16,910.4,910.4,fresh,0,23.68978016
25,OAT0A,25,405.4982414,190117,40.95941832,-27.3416745,0.281153848,89.26129235,NA,2.187776773,3.191354352,0.591725286,-0.661203696,oat,0,A,0,16,910.4,910.4,fresh,0,21.84225951
184,WHXX3,184,286.6675152,190308,28.53682939,-25.02155507,0.072810045,89.45702728,NA,2.29376993,2.569524574,0.349688282,-0.685235765,Wheat,0,C,0,NA,NA,NA,fresh,0,14.51451917
282,PEA0-0C,51,403.4417268,131026,39.55311047,-27.29033184,0.07845509,95.97037111,130903,3.580983997,1.905942526,0.191813868,0,PE,0,C,0,10,6.07954,6.07954,fresh,0,12.88620547
261,EIN0-0C,36,411.5094683,131021,39.56821811,-27.20982867,0.052890863,97.12512053,130930,1.842981414,1.114547691,0.329263454,0,EI,0,C,0,13,1.95321,1.95321,fresh,0,25.04795804
264,EM0-0C,16,405.4471422,131022,39.36380021,-25.78102086,0.048358545,97.39666195,130930,1.887532208,0.747447818,0.332400785,0,EM,0,C,0,13,2.8696,2.8696,fresh,0,24.33041056
263,EM0-0B,42,444.1799923,131025,40.3799993,-25.79166395,0.072693969,98.89855542,130930,1.841686321,0.960145188,0.330577028,0,EM,0,B,0,13,2.8696,2.8696,fresh,0,25.57981707
