,ID,ID,ID,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15N,d15Nsd,,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd
46,OAT21524C,OAT21524C,OAT21524C,181031,66.16107329,-27.47903502,0.083396903,181112,3.680329138,4.860894343,0.266511282,,,,,,,,,,
47,OAT2154A,OAT2154A,OAT2154A,181031,46.87165744,-27.68520246,0.083580854,181112,3.426021775,5.223494522,0.265244532,,,,,,,,,,
48,OAT2154B,OAT2154B,OAT2154B,181031,51.21522703,-27.2292339,0.083180195,181112,3.490917205,4.988485691,0.266052598,,,,,,,,,,
49,OAT2154C,OAT2154C,OAT2154C,181031,50.14274377,-27.2829509,0.083226222,181112,2.909000894,4.562549643,0.267638169,,,,,,,,,,
50,OAT2158A,OAT2158A,OAT2158A,181031,55.85548597,-27.35048152,0.083284532,181112,3.378703079,5.321323984,0.264922287,,,,,,,,,,
51,OAT2158D,OAT2158D,OAT2158D,181031,51.16084134,-28.20110571,0.084061146,181112,2.978819079,4.921517389,0.2662916,,,,,,,,,,
52,OAT2158E,OAT2158E,OAT2158E,181031,49.54420084,-28.11874323,0.083982567,181112,2.558961785,5.219217576,0.26525881,,,,,,,,,,
53,OAT23024A,OAT23024A,OAT23024A,181129,64.02802195,-26.90178962,0.084036186,181210,3.827612894,5.047240633,0.37823978,,,,,,,,,,
54,OAT23024B,OAT23024B,OAT23024B,181129,67.02055213,-26.97893577,0.084337882,181210,4.251835853,4.473776646,0.382009475,,,,,,,,,,
55,OAT23024C,OAT23024C,OAT23024C,181129,61.27163361,-27.28926628,0.085562099,181210,4.117097647,4.265106449,0.383648594,,,,,,,,,,
56,OAT2304A,OAT2304A,OAT2304A,181129,56.05681588,-27.23639142,0.085352332,181210,4.936040551,5.105638505,0.377917259,,,,,,,,,,
57,OAT2304B,OAT2304B,OAT2304B,181129,63.39593942,-27.66526646,0.087067341,181210,5.341058364,3.748716095,0.388302333,,,,,,,,,,
58,OAT2304BDA,OAT2304BDA,OAT2304BDA,NA,NA,NA,NA,190322,3.515500256,3.579344891,0.398644774,,,,,,,,,,
59,OAT2304BDA,OAT2304BDA,OAT2304BDA,NA,NA,NA,NA,190228,3.349986782,2.007239384,0.353475136,,,,,,,,,,
60,OAT2304BDB,OAT2304BDB,OAT2304BDB,NA,NA,NA,NA,190228,3.201065631,2.501702135,0.347788958,,,,,,,,,,
61,OAT2304BDB,OAT2304BDB,OAT2304BDB,NA,NA,NA,NA,190322,3.584773314,3.593381291,0.398446984,,,,,,,,,,
62,OAT2304C,OAT2304C,OAT2304C,181129,64.57444673,-27.42518628,0.086103507,181210,5.723336932,4.524825515,0.381629993,,,,,,,,,,
63,OAT2308A,OAT2308A,OAT2308A,181129,60.31669358,-27.09284209,0.084785273,181210,4.854923472,4.692243089,0.380445298,,,,,,,,,,
64,OAT2308B,OAT2308B,OAT2308B,181129,64.43575215,-27.01612796,0.08448371,181210,5.43080125,4.518295237,0.381678063,,,,,,,,,,
65,OAT2308D,OAT2308D,OAT2308D,181129,64.04208791,-27.7434147,0.087383107,181210,4.008558432,4.524523754,0.381632211,,,,,,,,,,
66,OAT24524A,OAT24524A,OAT24524A,181206,60.72353675,-27.59379698,0.078867587,190208,4.215931708,4.453334671,0.287750198,,,,,,,,,,
67,OAT24524B,OAT24524B,OAT24524B,181206,68.57058018,-27.33233609,0.078029416,190208,3.997459544,4.233068452,0.288692502,,,,,,,,,,
68,OAT24524CDA,OAT24524CDA,OAT24524CDA,181206,61.86949772,-27.49932387,0.078563626,190208,4.340183644,4.246176569,0.288634113,,,,,,,,,,
69,OAT24524CDB,OAT24524CDB,OAT24524CDB,181206,61.800785,-27.4895813,0.07853235,190208,4.550016733,4.245029648,0.28863921,,,,,,,,,,
70,OAT2454A,OAT2454A,OAT2454A,181206,65.80573891,-28.13512859,0.080632655,190208,3.633448256,3.924511462,0.290150802,3.712351611,3.606271685,,,,,,,,
