"","ID","RunfileN","normd15N"
"351","SALANINE",200825,-1.82115836835379
"162","SALANINE",181210,-0.686204856513746
"242","SALANINE",181210,-1.11321849543991
"302","SALANINE",181210,-0.924188769079608
"372","SALANINE",181210,-1.01930437169599
"45","SALANINE",181210,-0.707811131142959
"532","SALANINE",181210,-0.970437206131713
"622","SALANINE",181210,-1.0957919824661
"67","SALANINE",181210,-1.07592559380619
"143","SALANINE",200827,-1.603302204
"22","SALANINE",200827,-0.973501969
"303","SALANINE",200827,-1.840676264
"381","SALANINE",200827,-1.42689868
"462","SALANINE",200827,-1.356134655
"54","SALANINE",200827,-1.528951912
"623","SALANINE",200827,-1.299211856
"681","SALANINE",200827,-1.675438949
"144","SALANINE",181112,-0.892071726469319
"232","SALANINE",181112,-0.804108000646837
"311","SALANINE",181112,-1.02707182913481
"401","SALANINE",181112,-0.884333189000967
"471","SALANINE",181112,-0.94091120123445
"541","SALANINE",181112,-1.38278663876422
"611","SALANINE",181112,-0.750028670298721
"163","SALANINE",190214,-1.36148621008732
"243","SALANINE",190214,-1.51964452287048
"304","SALANINE",190214,-1.13530404955964
"375","SALANINE",190214,-0.886115734313854
"442","SALANINE",190214,-1.09968801456911
"533","SALANINE",190214,-1.35692402182843
"612","SALANINE",190214,-1.38157794000651
"653","SALANINE",190214,-1.11692513835846
"373","SEAL",200827,16.16362077
"451","SEAL",200827,16.39718356
"501","SEAL",200827,16.29816072
"594","SEAL",200827,16.31618324
