,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15Nav,normd15N28thoct,normd15N,...15,d15Nsd,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN,TT2
27,C9HBH230-4,392.0580101,131126.6667,58.79762161,NA,-26.21081927,0.060406575,71.61775686,131125.6667,2.379869414,1.079711596,NA,NA,NA,0.216887317,Barley,4,NA,230,NA,NA,NA,NA,39.84375,NA,NA
28,C9HBH230-8,408.1088976,131130,64.9474001,NA,-26.28379737,0.055071232,71.28456782,131128,2.353726668,0.933323776,NA,NA,NA,0.176988593,Barley,8,NA,230,NA,NA,NA,NA,45.3125,NA,NA
29,FT30024,531.603334,181219,65.33699667,32.34889174,-26.65736036,0.072560131,83.01591838,NA,3.492444196,2.379372503,NA,NA,NA,0.268534438,BW,24,NA,300,NA,NA,NA,NA,64.8494358,NA,NA
30,FT3004,570.5575757,181219,70.05293125,36.74642887,-26.73377694,0.072755087,79.33701901,NA,3.08384612,2.520359219,NA,NA,NA,0.26727273,BW,4,NA,300,NA,NA,NA,NA,58.75888615,NA,NA
31,FT3008,553.2050618,181219,66.36268878,36.127831,-26.9499749,0.073305529,64.09409018,NA,2.548037338,2.287431808,NA,NA,NA,0.269367044,BW,8,NA,300,NA,NA,NA,NA,60.12408044,NA,NA
32,HBH0-0,443.9190317,131151.3333,39.64577909,NA,-26.61430283,0.067419783,76.12597099,131125.6667,1.402213826,0.509904989,NA,NA,NA,0.217952678,Barley,0,NA,0,NA,NA,NA,NA,0,NA,NA
33,OAT0,407.6822287,190117,40.73822398,23.88144851,-27.57301563,0.284502699,89.7721511,NA,2.208337449,3.42004215,NA,NA,NA,0.5708992,Oat,0,NA,0,NA,NA,NA,NA,0,NA,NA
34,OAT21524,413.5897288,181031,62.00801706,22.87645932,-27.78913576,0.08368235,104.2829774,NA,3.509964617,5.060595947,NA,NA,NA,0.265828891,Oat,24,NA,215,NA,NA,NA,NA,37.95940198,NA,NA
35,OAT2154,332.2814497,181031,49.40987608,23.13592278,-27.39912909,0.08332909,100.261218,NA,3.275313291,4.924843285,NA,NA,NA,0.266311766,Oat,4,NA,215,NA,NA,NA,NA,20.5354643,NA,NA
36,OAT2158,348.5724374,181031,52.18684272,23.20323574,-27.89011015,0.083776082,85.33971764,NA,2.972161314,5.15401965,NA,NA,NA,0.265490899,Oat,8,NA,215,NA,NA,NA,NA,26.73288964,NA,NA
37,OAT23024,525.3759813,181129,64.1067359,20.40990725,-27.05666389,0.084645389,92.90102607,NA,4.065515465,4.595374576,NA,NA,NA,0.381299283,Oat,24,NA,230,NA,NA,NA,NA,43.59198922,NA,NA
38,OAT2304,488.177052,181129,61.34240068,22.19376477,-27.44228139,0.086174393,108.8364721,NA,4.904983756,4.275660223,NA,NA,NA,0.379569113,Oat,4,NA,230,NA,NA,NA,NA,36.96912248,NA,NA
39,OAT2308,498.6202872,181129,62.93151121,22.28545624,-27.28412825,0.085550697,108.2087157,NA,4.764761051,4.578354027,NA,NA,NA,0.381251857,Oat,8,NA,230,NA,NA,NA,NA,41.4591116,NA,NA
40,OAT24524,502.0419858,181206,63.70975276,22.27070732,-27.47352855,0.078481664,100.5934109,NA,4.219497147,4.310668744,NA,NA,NA,0.288359787,Oat,24,NA,245,NA,NA,NA,NA,47.206986,NA,NA
41,OAT2454,527.97699,181206,62.57442852,25.10437378,-27.81451697,0.079586569,109.0367136,NA,4.539211315,3.399334615,NA,NA,NA,0.323414481,Oat,4,NA,245,NA,NA,NA,NA,41.09394989,NA,NA
42,OAT2458,516.3629382,181206,64.0748881,23.20625588,-27.29315981,0.077909599,91.92608559,NA,3.97346957,3.998458364,NA,NA,NA,0.289799986,Oat,8,NA,245,NA,NA,NA,NA,41.29679153,NA,NA
43,OAT26024,523.8488527,181213,67.66327073,18.25775345,-27.45222544,0.101082338,92.58693218,NA,4.362250904,4.358063348,NA,NA,NA,0.370828407,Oat,24,NA,260,NA,NA,NA,NA,49.87218679,NA,NA
44,OAT2604,544.1413001,181213,67.51759544,20.25386933,-27.48251877,0.101138197,86.32836561,NA,4.352924328,4.189582369,NA,NA,NA,0.372632226,Oat,4,NA,260,NA,NA,NA,NA,43.44594192,NA,NA
45,OAT2608,560.3774595,181213,67.51055111,19.99655959,-27.19733309,0.10052271,107.6665449,NA,5.046029099,4.604368796,NA,NA,NA,0.368130081,Oat,8,NA,260,NA,NA,NA,NA,45.89789325,NA,NA
46,OAT30024,512.2285539,181219,62.69457611,20.64125809,-27.24699862,0.074082406,110.0451028,NA,4.426846494,4.625178992,NA,NA,NA,0.25130139,Oat,24,NA,300,NA,NA,NA,NA,58.27882536,NA,NA
47,OAT3004,573.9726998,181219,75.79036684,20.3045288,-27.14739688,0.073825196,138.4990804,NA,5.568823492,3.977725242,NA,NA,NA,0.255549152,Oat,4,NA,300,NA,NA,NA,NA,52.15298381,NA,NA
48,OAT3008,560.8249998,181219,67.04095882,20.56630052,-27.06240224,0.07360751,125.214213,NA,4.942048201,4.222341377,NA,NA,NA,0.253848223,Oat,8,NA,300,NA,NA,NA,NA,54.46257322,NA,NA
49,RCSPARERYE24524,419.0040937,190308,62.97381081,12.08628777,-25.42586371,0.073083278,59.91992213,NA,2.82681748,4.371684076,NA,NA,NA,0.388023129,Rye,24,NA,245,NA,NA,NA,NA,56.07575878,NA,NA
50,RYE0,376.9921508,190259.5,37.28697138,42.52772862,-25.44433981,0.157735417,56.31208222,NA,1.367263947,3.567426932,NA,NA,NA,0.418769761,Rye,0,NA,0,NA,NA,NA,NA,0,NA,NA
51,RYE21524,438.9134265,185716.5,66.88015988,41.15057625,-25.30405142,0.07099675,70.45245127,NA,2.014082407,4.888348501,NA,NA,NA,0.277245005,Rye,24,NA,215,NA,NA,NA,NA,39.3274297,NA,NA
52,RYE2154,295.4717751,181031,44.54927436,41.70377332,-25.72887827,0.082024094,55.66291539,NA,1.419762794,3.875390784,NA,NA,NA,0.270521379,Rye,4,NA,215,NA,NA,NA,NA,24.01319809,NA,NA
53,RYE2158,303.4564031,181031,45.77367972,41.04846115,-25.86535457,0.08211964,55.75194642,NA,1.427026178,4.485210923,NA,NA,NA,0.268209862,Rye,8,NA,215,NA,NA,NA,NA,26.25538545,NA,NA
54,RYE23024,512.4911527,181129,62.33079507,39.73893788,-25.15950592,0.077532694,105.4398812,NA,3.512943564,4.350955182,NA,NA,NA,0.356724387,Rye,24,NA,230,NA,NA,NA,NA,50.26871926,NA,NA
55,RYE2304,445.9912696,181129,55.09445516,41.84649005,-25.47874631,0.078680755,104.7381713,NA,3.038943818,4.38405034,NA,NA,NA,0.365982932,Rye,4,NA,230,NA,NA,NA,NA,35.1523488,NA,NA
56,RYE2308,461.6743333,181129,57.66261659,38.02751658,-25.07514398,0.077245014,113.2576162,NA,2.728888975,4.622006329,NA,NA,NA,0.372521656,Rye,8,NA,230,NA,NA,NA,NA,43.96726236,NA,NA
57,RYE2454,506.2701254,181206,61.24128555,52.9199887,-25.48573792,0.072406757,92.77218917,NA,2.460090924,3.372972684,NA,NA,NA,0.403361401,Rye,4,NA,245,NA,NA,NA,NA,46.23026631,NA,NA
