,ID,RunfileC,normd13C,d13Csd as per Kragten
393,P2,190308,-28.28506193,0.077433447
451,P2,190308,-28.41786081,0.077736911
12,SALANINE,190308,-27.12142551,0.07514178
20,SALANINE,190308,-27.16480535,0.075214984
274,SALANINE,190308,-27.11757391,0.075135327
351,SALANINE,190308,-27.11661182,0.075133716
401,SALANINE,190308,-27.19003938,0.075258015
504,SALANINE,190308,-27.15537586,0.075198989
582,SALANINE,190308,-27.13597893,0.07516623
653,SALANINE,190308,-27.13462013,0.075163943
83,CH6,190117,-10.31067638,0.151660712
183,CH6,190117,-10.49906106,0.150747256
361,CH6,190117,-10.53726257,0.150569464
121,CH7,190117,-31.84935066,0.348287926
302,CH7,190117,-32.5095169,0.358408695
37,CH7,190117,-32.09413244,0.352033738
241,P2,190117,-28.24673104,0.294297376
315,P2,190117,-28.33896024,0.29564789
382,P2,190117,-28.38931157,0.296386009
151,SALANINE,190117,-27.20524603,0.279190797
213,SALANINE,190117,-27.25528963,0.279910285
261,SALANINE,190117,-27.35097905,0.281287911
334,SALANINE,190117,-27.19835425,0.279091765
394,SALANINE,190117,-27.12136119,0.277986296
