"","ID","ID","Cugdc","RunfileC","pcC","CN_Crun","normd13C","d13Csd","Nugdc","RunfileN","pcN","normd15N","d15Nsd"
"155","RYE30024C",NA,499.3461238,181219,64.01873382,34.54491896,-25.09342478,0.068919448,95.0951674,190222,4.70768155445545,3.26849405613509,0.260948035818617
"167","SPT0C",NA,467.143914,190117,45.35377806,24.87242174,-26.96712263,0.275776665,NA,NA,NA,NA,NA
"168","SPT0C",NA,NA,NA,NA,NA,NA,NA,84.56800876,200827,2.082955881,5.079849804,NA
"169","SPT0C",NA,NA,NA,NA,NA,NA,NA,84.35491578,200827,2.087992965,4.679399577,NA
"172","SPT21524C",NA,NA,NA,NA,NA,NA,NA,82.45448456,181112,2.94480302,6.9855033076698,0.260742758914437
"173","SPT21524C",NA,405.7510475,181031,57.1480348591549,24.0802861604917,-27.4519716037845,0.0833730977540591,NA,NA,NA,NA,NA
"174","SPT21524C",NA,353.5769236,181031,53.5722611515151,25.4652385645349,-27.3199452289731,0.0832581038843356,NA,NA,NA,NA,NA
"180","SPT2158C",NA,NA,NA,NA,NA,NA,NA,49.31776745,181112,1.7613488375,6.21330190701364,0.262373114829197
"181","SPT2158C",NA,386.4086053,181031,58.5467583787879,23.8167781821701,-27.0645135558028,0.0830410208589748,NA,NA,NA,NA,NA
"182","SPT2158C",NA,437.5539944,181031,70.5732249032258,23.3640040662444,-27.0243260253327,0.0830075173485178,NA,NA,NA,NA,NA
"185","SPT23024C",NA,464.9690625,181129,60.3855925324675,22.6722540634178,-27.1542918268585,0.0850275779677408,104.6535674,181210,3.90498385820896,6.82160261151173,0.373648873813555
"186","SPT23024C",NA,517.1645209,181129,63.8474717160494,23.1270716771833,-27.0890027323494,0.0847701562261752,112.9260358,181210,4.34330906923077,7.05063218936079,0.373850778800406
"192","SPT2308D",NA,552.1107048,181129,67.3305737560976,22.9988614732779,-27.0891081431317,0.0847705712383296,76.63389788,181210,3.09007652741936,6.78996129170702,0.373635320070918
"193","SPT2308D",NA,550.3459391,181129,65.517373702381,22.4665796558008,-27.0271897030038,0.0845271294549906,78.9384808,181210,3.08353440625,6.82376648594006,0.373649927953902
"195","SPT24524B",NA,512.1524368,181206,65.6605688205128,26.9316971463697,-26.9353278055869,0.0767754861661866,86.57011995,190208,3.65274767721519,5.10127167812021,0.285463174621326
"196","SPT24524B",NA,NA,NA,NA,NA,NA,NA,71.38408693,190228,3.15858791725664,5.01138357325578,0.322571663543387
"197","SPT24524B",NA,NA,NA,NA,NA,NA,NA,76.14187256,190228,3.09519807154472,4.95322819816487,0.323080718636619
"201","SPT2454D",NA,504.8919732,181206,61.5721918536585,26.2749892156193,-26.9819780066381,0.0769216253598103,74.43870679,190208,3.2364655126087,6.39724977087384,0.283111080454357
"202","SPT2454D",NA,538.4975877,181206,64.8792274337349,25.4787880486509,-27.0816230307517,0.0772348632424976,60.5892313,190208,2.81810378139535,6.0327946247172,0.283469282133234
"208","SPT26024C",NA,NA,NA,NA,NA,NA,NA,89.95967581,190214,3.89435826017316,6.3727509224587,0.353266889294808
"209","SPT26024C",NA,393.2407818,181213,49.15509773,20.41080772,-27.32792464,0.100798374,NA,NA,NA,NA,NA
"210","SPT26024C",NA,447.0379862,181213,59.60506483,20.27505336,-27.45967096,0.1010861,NA,NA,NA,NA,NA
"213","SPT2604C",NA,517.3087491,181213,63.08643282,22.58707771,-27.30885284,0.100757007,NA,NA,NA,NA,NA
"214","SPT2604C",NA,NA,NA,NA,NA,NA,NA,74.40183734,190214,3.50952062924528,6.32127172253633,0.353611487877167
"215","SPT2604C",NA,NA,NA,NA,NA,NA,NA,77.62249515,190214,3.56066491513761,5.93243061023758,0.356387292409813
"221","SPT30024C",NA,549.4594712,181219,67.83450262,17.17590652,-26.9435985,0.073286261,142.9771808,190222,5.76520890322581,6.17092269805305,0.242697156041899
"222","SPT30024C",NA,500.718978,181219,63.38214911,18.0897921,-26.81993537,0.072970326,136.5525137,190222,5.50614974596774,6.0315620616566,0.243323810033659
"231","WHXX3",NA,NA,NA,NA,NA,NA,NA,89.45702728,190228,2.29376993025641,3.25476033878855,0.339558108588932
"232","WHXX3",NA,262.4426969,190308,25.9844254356436,33.4491174083199,-25.0224240740933,0.072810502409529,NA,NA,NA,NA,NA
"233","WHXX3",NA,310.8923334,190308,31.08923334,32.5644884505884,-25.0206860618929,0.0728095874998036,NA,NA,NA,NA,NA
