"","ID","ID","ID","Cugdc","RunfileC","pcC","CN_Crun","normd13C","d13Csd","Nugdc","RunfileN","pcN","normd15N","d15Nsd"
"1","BAR0A","BAR0A","BAR0A",383.644262,190402,35.8546039252336,33.0039969752498,-26.3772469122122,0.0636505455696442,63.51594681,190322,1.56829498296296,1.76534129521746,0.426348900903569
"2","BAR0A","BAR0A","BAR0A",383.644262,190402,35.8546039252336,33.0039969752498,-26.3772469122122,0.0636505455696442,62.67618608,190405,1.524968031,1.324794426,0.42698354
"3","BAR0A","BAR0A","BAR0A",383.644262,190402,35.8546039252336,33.0039969752498,-26.3772469122122,0.0636505455696442,56.21929854,190228,1.38813082814815,0.734949951007923,0.369051366466722
"4","BAR0A","BAR0A","BAR0A",451.1947807,190308,40.6481784414414,35.2620413642133,-26.3316889719835,0.0739821852565773,63.51594681,190322,1.56829498296296,1.76534129521746,0.426348900903569
"5","BAR0A","BAR0A","BAR0A",451.1947807,190308,40.6481784414414,35.2620413642133,-26.3316889719835,0.0739821852565773,62.67618608,190405,1.524968031,1.324794426,0.42698354
"6","BAR0A","BAR0A","BAR0A",451.1947807,190308,40.6481784414414,35.2620413642133,-26.3316889719835,0.0739821852565773,56.21929854,190228,1.38813082814815,0.734949951007923,0.369051366466722
"7","BAR0B","BAR0B","BAR0B",372.5359463,190402,34.8164435794393,34.1665682279677,-26.1327789133452,0.0628885724219076,62.83057892,190405,0.151398985,0.380940451,0.444977912
"8","BAR0B","BAR0B","BAR0B",396.7079985,190117,37.07551388,33.34238783,-26.34964293,0.266999529,62.83057892,190405,0.151398985,0.380940451,0.444977912
"11","BAR0C","BAR0C","BAR0C",308.4038765,190308,27.784133018018,42.3171649456479,-26.532720816561,0.0742458307285054,72.78086393,190322,1.82408180275689,2.49187102909072,0.414762959059904
"12","BAR0C","BAR0C","BAR0C",308.4038765,190308,27.784133018018,42.3171649456479,-26.532720816561,0.0742458307285054,56.63470297,190228,1.40184908341584,1.37382415666418,0.361066040821489
"13","BAR0C","BAR0C","BAR0C",308.4038765,190308,27.784133018018,42.3171649456479,-26.532720816561,0.0742458307285054,61.9101689,190405,1.413474176,1.841932233,0.417636563
"14","BAR0C","BAR0C","BAR0C",372.2633123,190402,37.22633123,37.9519461892348,-26.4981154316576,0.0640294504403242,72.78086393,190322,1.82408180275689,2.49187102909072,0.414762959059904
"15","BAR0C","BAR0C","BAR0C",372.2633123,190402,37.22633123,37.9519461892348,-26.4981154316576,0.0640294504403242,56.63470297,190228,1.40184908341584,1.37382415666418,0.361066040821489
"16","BAR0C","BAR0C","BAR0C",372.2633123,190402,37.22633123,37.9519461892348,-26.4981154316576,0.0640294504403242,61.9101689,190405,1.413474176,1.841932233,0.417636563
"58","OAT2304BDA","OAT2304BDA","OAT2304BDA",NA,NA,NA,NA,NA,NA,76.63790557,190322,3.51550025550459,3.57934489101795,0.3986447735701
"59","OAT2304BDA","OAT2304BDA","OAT2304BDA",NA,NA,NA,NA,NA,NA,84.08466823,190228,3.34998678207171,2.00723938449214,0.353475136481476
"60","OAT2304BDB","OAT2304BDB","OAT2304BDB",NA,NA,NA,NA,NA,NA,80.34674733,190228,3.20106563067729,2.50170213510066,0.347788957773563
"61","OAT2304BDB","OAT2304BDB","OAT2304BDB",NA,NA,NA,NA,NA,NA,81.73283155,190322,3.58477331359649,3.59338129120738,0.398446983626454
"115","RYE0A","RYE0A","RYE0A",421.6021144,190402,41.333540627451,40.0628799983867,-25.6001248554158,0.0612496734540608,57.25671104,190405,1.417245323,3.734427714,0.386997767
"116","RYE0A","RYE0A","RYE0A",404.7804818,190117,40.07727543,39.20286742,-25.63311556,0.256964061,57.25671104,190405,1.417245323,3.734427714,0.386997767
"117","RYE0B","RYE0B","RYE0B",347.7694027,190117,36.22597945,47.71795802,-25.8506203,0.259992356,51.53908766,190405,1.221305395,4.082014977,0.382050955
"118","RYE0B","RYE0B","RYE0B",391.6559345,190402,39.16559345,46.7633968724352,-25.8014750376668,0.0618656656350054,51.53908766,190405,1.221305395,4.082014977,0.382050955
"119","RYE0C","RYE0C","RYE0C",336.6276747,190402,33.0027132058824,41.916343969994,-24.8457433778313,0.0589825131470421,67.58583138,190405,1.62857425,3.353983843,0.392668591
"120","RYE0C","RYE0C","RYE0C",359.5172966,190117,33.91672609,39.50292541,-24.93495973,0.247358233,67.58583138,190405,1.62857425,3.353983843,0.392668591
"121","RYE21524A","RYE21524A","RYE21524A",393.1935033,181031,61.436484890625,41.34763150574,-24.9889686324855,0.0815472040386561,77.91290738,181112,1.99776685589744,5.67619230465113,0.263823711060911
"122","RYE21524A","RYE21524A","RYE21524A",246.8867121,190402,39.8204374354839,45.6744780389925,-25.0037779256046,0.0594519193608646,77.91290738,181112,1.99776685589744,5.67619230465113,0.263823711060911
"123","RYE21524B","RYE21524B","RYE21524B",714.1914567,190402,105.028155397059,35.987045251174,-24.7496089718931,0.0586984655589662,45.8061571,190228,2.20221909134615,3.79074759710656,0.334033802168483
"124","RYE21524B","RYE21524B","RYE21524B",714.1914567,190402,105.028155397059,35.987045251174,-24.7496089718931,0.0586984655589662,86.71320425,181112,2.19527099367089,5.83519578970624,0.263367512243754
"125","RYE21524B","RYE21524B","RYE21524B",418.4996648,181031,66.4285182222222,32.2360067635028,-24.9601940509517,0.0815299460798915,45.8061571,190228,2.20221909134615,3.79074759710656,0.334033802168483
