,ID,Cugdc,pcC,Nugdc,pcN,Species,time,temp,pcwtloss
70,SPT2304,454.4013837,57.18234694,90.27334882,3.374540726,Spelt,4,230,36.48319569
71,SPT2308,523.6212848,64.0240022,87.00216433,3.266547034,Spelt,8,230,43.16612804
69,SPT23024,462.6704042,60.31371302,117.7772989,4.485938072,Spelt,24,230,48.41658633
73,SPT2454,525.3174234,63.41489477,69.68047063,3.205687421,Spelt,4,245,49.11229449
74,SPT2458,539.5691789,67.68735075,76.0389116,3.306785386,Spelt,8,245,46.78797532
72,SPT24524,520.8322278,64.33529012,90.71908458,3.727210794,Spelt,24,245,52.27938619
76,SPT2604,550.0058014,69.37914349,71.60613936,3.486548343,Spelt,4,260,47.13664432
77,SPT2608,502.3796129,62.477225,92.15072261,3.967416733,Spelt,8,260,49.13933585
75,SPT26024,478.3636512,58.65604814,88.48003045,3.985398543,Spelt,24,260,53.69348107
79,SPT3004,539.5333415,66.32571865,104.7717816,4.050653437,Spelt,4,300,56.06421074
80,SPT3008,515.4543789,67.01537284,107.3709394,4.336334881,Spelt,8,300,58.07467
78,SPT30024,509.9041473,63.82729135,141.1375373,5.557450726,Spelt,24,300,64.03727684
